12:00 ;14:00;16:00 ;16:01 ;18:00;18:01;18:02;18:03;20:00;20:01;22:01;Cetan Number
0;1,8;15,2;0;4,5;32,6;43,6;0;0;0;0;48,94
0;8;23;0;8;32;22;0;3;0;0;57,51
0;0;2,5;0;56,4;39,4;1,7;0;0;0;0;65,16
0;0,1;8,1;1,5;1,2;20,8;67,7;0;0;0;0;41,37
0;39,2;13,3;0;2,4;44,1;1;0;0;0;0;61,85
0;0;9;0;0;14,6;73,7;2,7;0;0;0;38,73
0;0,2;11;0;10,2;29,5;46,4;0,4;0;2,3;0;48,31
0;0,8;14,5;0;3,8;18,5;61,4;0;0;0;0;44,5
0;0;25,4;0;0;46,8;27,8;0;0;0;0;52,2
0;0;2,5;0;56,4;39,4;1,7;0;0;0;0;65,2
0;0;9;0;0;14,6;73,7;2,7;0;0;0;38,7
0;0;18,4;0,3;11,8;18,3;26,7;23,2;0,5;0,2;0,6;44
0,1;1;42,8;0;4,5;40,5;10,1;0,2;0;0;0;54,6
0,1;0,1;10,2;0;3,7;22,8;53,7;8,6;0,3;0;0,1;37,9
0;0;13,27;0;2,8;64,15;17,92;1,86;0;0;0;52
0;0;5,93;0,04;30,47;54,26;7,8;0,66;0,51;0;0;58,23
0;0;17,49;0,5;6,72;48,54;22,2;0,77;0,34;0;0;54,88
0;0;17,5;0,5;1,7;24,5;41,3;0,4;0,4;0;0;54
0;0;2,3;0;38,3;57,9;0,8;0,4;0;0,3;0;61,5
0;0;16,6;0;8,8;30,5;36;8,1;0;0;0;48,3
0;0;2;0;13,8;45,3;0;0;34,7;4,2;0;64,9
0;0;9,7;0;2,4;83,8;0,8;0;0;0;0;56,3
0;0;0;0;0;9,8;47,5;36,2;0;0;0;30,1
0;0;18,8;0;9;32,5;39,5;0;0;0;0;50,42
19,6;54,5;19,6;0;0;5,4;0;0;0;0;0;67,5
0;0;66;0;3,5;27,5;3;0;0;0;0;65,3
19,6;54,5;19,6;0;0;5,4;0;0;0;0;0;67,47
0;0;4;0;6,1;14,8;71;1;3;0;0;41,25
0;0;4,9;0;1,6;33;20,4;7,8;0;9,3;23;55
0,21;0,24;7,8;3,1;0,23;30,4;55;0,12;0;0;0;48
0,6;0,08;13,2;3,1;1,19;71,7;8,2;0,14;0;0;0;58,4
1,61;0;12,7;3,6;0,75;71,8;6,8;0,15;0;0;0;58,7
2,17;0,08;8,2;3,3;0,35;33,1;53,2;0,12;0;0;0;48,4
2,01;0;13,7;3,7;0,67;75,9;2,5;0,12;0;0;0;59,8
0,29;0,03;13,5;3,9;0,09;74,5;6,2;0,17;0;0;0;59
1,3;0,17;14,3;3,2;0;72,8;5,8;0,15;0;0;0;59,2
0,67;0,03;14,4;3,2;0;74,1;5,7;0,19;0;0;0;59,2
1,1;0,14;14,3;3,1;0;72,8;6;0,13;0;0;0;59,1
1,16;0,13;13,9;2,8;0;74;5,3;0,16;0;0;0;59,1
0,62;0,09;14,6;3,1;0;73,5;5,6;0,15;0;0;0;59,2
1,22;0,17;14,5;3;0;73,5;5,8;0,39;0;0;0;59,1
0,5;0,03;14,5;2,5;0;70,3;7,3;0,13;0;0;0;58,9
0,24;0,06;7,6;2,9;0,13;36,8;49,2;0,09;0;0;0;49,1
0,66;0,08;9,9;3,5;0,14;73,2;10,6;0,19;0;0;0;57,4
0,41;0,07;7,5;2,6;0,12;29;59,5;0,16;0;0;0;46,8
0,69;0,05;13;3,4;0,07;73,9;6,3;0,16;0;0;0;58,9
9,72;0,13;8,5;3,2;0,17;35,3;50,6;0,2;0;0;0;49
0,94;0,2;14,2;3,2;0;44;34,6;0,15;0;0;0;53,3
0,33;0,14;7,8;3,2;0,24;30,8;53,4;0,08;0;0;0;48,4
0,52;0,15;14,6;3,8;0,13;72,3;5,5;0,15;0;0;0;59,4
0,15;0,03;13,6;3,8;0,06;74,8;4,6;0,17;0;0;0;59,4
0,72;0,09;12,6;3,9;0,08;61,7;19,9;0,19;0;0;0;56,1
0,24;0,13;8,1;3,4;0;31,3;52,8;0,09;0;0;0;48,6
0,21;0,17;7,6;3,1;0;29,5;57;0,08;0;0;0;47,6
0,88;0,06;13,2;3,3;0,93;71,7;4,6;0,34;0;0;0;59,2
1,91;0,12;12,2;3,2;0,85;64;17,2;0,17;0;0;0;56,4
1,21;0,08;13;3;0,96;66,4;13,7;0,17;0;0;0;57,2
0,21;0;12,2;3,6;0,88;73,6;7,4;0,19;0;0;0;58,4
0,5;0,06;11,6;3,2;0,89;66,9;12,3;0,17;0;0;0;57,4
0,37;0,13;8,4;3,5;0,27;34,5;50,5;0,14;0;0;0;49,1
1,28;0,02;11,3;3,7;0,61;74,5;4,7;0,19;0;0;0;59
1,29;0;11,5;3,6;0,66;74,9;4,5;0,17;0;0;0;59
0,71;0,09;13;2,7;1,1;67,9;12,6;0,2;0;0;0;57,4
3,33;0,16;13,9;3,2;0,9;72,9;5,3;0,19;0;0;0;59,2
1,06;0,06;13,7;3,1;0,82;68;12,8;0,22;0;0;0;57,5
1,05;0,06;13,9;2,6;0,68;69,1;10,7;0,19;0;0;0;57,9
0,37;0,14;8;3;0,22;38,7;47,8;0,1;0;0;0;49,4
0,22;0,35;8,5;3,1;0,35;46,6;39,2;0,12;0;0;0;51,3
0,3;0,12;7,6;3,1;0,34;31,2;55,4;0,13;0;0;0;47,8
2,22;0,04;13,3;3,5;0,91;74,9;5;0,21;0;0;0;59,1
3,37;0,13;13,8;3,9;0,97;74,2;4,7;0,13;0;0;0;59,4
0,98;0,1;7,7;3,8;0,12;31,5;55,6;0,1;0;0;0;47,9
0,65;0,05;10,6;3,4;0,61;62,7;21,6;0,15;0;0;0;55,2
0,21;0,08;7,2;3,1;0,13;31,4;55,9;0,09;0;0;0;47,7
0,28;0,15;8,3;3;0,31;34,5;51,3;0,09;0;0;0;48,8
0,61;0,05;9,4;2,9;0,56;74,3;10,5;0,19;0;0;0;57,2
0,58;0,08;8,1;3,2;0,28;34,8;52,7;0,13;0;0;0;48,4
1,03;0,06;11,6;3;0,68;58,3;25;0,16;0;0;0;54,6
2,3;0,17;13,2;4,3;1,26;69,2;9,2;0,15;0;0;0;58,4
